"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bermuda","BMU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","75.8399963378906","","","","","","","","","","","","","","","","88.1600036621094","","","","","","","","","93.0599975585938","","","","","","95.0400009155273","94.9599990844727","95.8000030517578","","96.5999984741211","97.1100006103516","","","96.5199966430664","","","","","97.4400024414062","","","97.7699966430664","","",
"Brazil","BRA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","76.379997253418","","","","","","","","","","","","","","","","","","","","86.2300033569336","","","","88.4100036621094","","89.3499984741211","89.7699966430664","89.8399963378906","90.1699981689453","90.0599975585938","91.1699981689453","91.0299987792969","91.1800003051758","91.370002746582","91.7300033569336","92.5800018310547","92.8899993896484","93.0100021362305","93.624114176131","94.511806797444","94.5045379913135","94.091356038064","94.2688531623673","94.4939325204804","",
"Barbados","BRB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","99.2900009155273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","85.1399993896484","","","","","","","","","","92.4499969482422","","","","","","","","","","95.1500015258789","","","","","","","","","","97.4300003051758","","","","","","","","","","","","","","",
"Bhutan","BTN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.0500030517578","","","","","","","66","","","","","75.0199966430664","","","","","73.3899993896484","","","",
"Botswana","BWA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3899993896484","","","","","","","","","","","","80.4300003051758","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","29.5900001525879","","","","","","","","","","","","","48.0200004577637","","","","","","","","","","","","66.7900009155273","","","","","","","","","","","","","","","","","","","59.8400001525879","","","","","","",
"Canada","CAN","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","99.0137481689453","99.0262908935547","99.0459594726562","99.0599822998047","99.0738677978516","99.0899505615234","99.1042022705078","99.1285400390625","99.1551818847656","99.1774368286133","99.1982574462891","99.2164001464844","99.2335815429688","","","","","","","","","","","","","","","","","","","","99.4716186523438","99.4770126342773","99.4827270507812","99.489990234375","99.4552688598633","99.4664077758789","99.4753036499023","99.4823303222656","99.4910736083984","99.4982986450195","99.5037994384766","",
